,items,type,veg/non-veg,Calcium,Calories,Carbohydrates,Carotene Vitamin A,Chlorine,Choline,Chromium,Copper,Fat,Fibre,Folic Acid Free,Iron,Magnesium,Manganese,Molybdenum,Niacin B3,Phosphorus,Potassium,Protein,Pyridoxin B6,Riboflavin B2,Sodium,Sulphur,ThiamineB1,Vitamin C,Water,Zink,Vitamin A RAE,Quantity
125,"Skimmed milk, Liquid",,,120,29,4.6,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0.1,90,0,2.5,0,0,0,0,0,1,92.1,0,0,Amount per 100 g. of edible portion
126,Soyabean (White) Seeds,s,,240,432,20.9,426,0,0,0.03,1.12,19.5,3.7,8.6,10.4,175,2.11,0,3.2,690,0,43.2,0,0.39,0,0,0.73,0,8.1,3.4,36,Amount per 100 g. of edible portion
127,Surmai Dry,,,148,210,0,0,0,0,0,0,6.2,0,0,4.2,0,0,0,0,172,0,38.6,0,0,0,0,0,0,43.3,0,0,Amount per 100 g. of edible portion
128,Surmai Fresh,,,92,92,0,0,0,0,0,0,1.4,0,0,2,0,0,0,0,161,0,20,0,0,0,0,0,0,63,0,0,Amount per 100 g. of edible portion
129,Toori (Toddy),s,,150,59,14.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,10,0,0.1,0,0,0,0,0,0,84.7,0,0,Amount per 100 g. of edible portion
130,Tamatar (Tomato),,,48,20,3.6,351,6,0,0.02,0.19,0.2,0.8,14,0.65,0,0.26,0,0.4,20,146,0.9,0,0.06,12.9,11,0.12,27,94,0.41,29,Amount per 100 g. of edible portion
131,Tamatar (Tomato)(Green),,,20,23,3.6,192,38,0,0,0.19,0.1,0.7,0,1.8,15,0,0,0.4,36,1.14,1.9,0,0.01,45.8,24,0.07,31,93.1,0,16,Amount per 100 g. of edible portion
132,Tamda Maasa (Rohu) (Labeo Rohita),,,650,97,4.4,0,3,819,0,0.13,1.4,0,0,1,13,0,0,0.7,175,288,16.6,0,0.07,101,103,0.05,22,76.7,0,0,Amount per 100 g. of edible portion
133,Til (Sesame Seeds),,,1450,563,25,60,0,0,12.2,0,43.3,2.9,51,9.3,0,2.3,1.32,4.4,570,0,18.3,0,0.34,0,0.09,1.01,0,5.3,0.2,5,Amount per 100 g. of edible portion
134,"Tondli, Konduri (Kovai)",,,40,18,3.1,156,0,0,0,0.01,0.1,1.6,18,0.38,36,0.22,0,0.7,30,0,1.2,0,0.08,0,0,0.07,15,93.5,0.26,13,Amount per 100 g. of edible portion
135,Toria (Ridge Gourd),,,18,17,3.4,33,7,0,0,0.08,0.1,0.5,0,0.4,32,0.07,0,0.2,26,50,0.5,0,0.01,3,14,0,5,95.2,0.38,3,Amount per 100 g. of edible portion
136,Torli (Sardine) Fish,,,357,97,0.1,0,0,0,0,0,2,0,0,6.1,0,0,0,0,349,0,19.6,0,0,0,0,0,0,76.5,0,0,Amount per 100 g. of edible portion
137,Udad (Black Gram) Daal,,,154,347,59.6,38,9,206,0.01,0.93,1.4,0.9,24,3.8,130,0.96,0.43,2,385,800,24,0,0.2,39.8,174,0.42,0,10.9,3,3,Amount per 100 g. of edible portion
138,Vanspati (Hydrogenated Fat),,,0,900,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amount per 100 g. of edible portion
